DIRECTORIO;TIP_FOR;P1;P1S1;P2;P2S1;P5;CTL_1;P8;P9R;P10R;P11R;P12;P13;P15R;P16S1;P16S2;P16S3;P16S4;P16S5;P16S6;P16S7;P16S8;P16S9;P17;P17S1;P17S2;P17S3;P17S4;P17S5;P17S6;P17S7;P17S8;P17S9;P17S10;P18;P19;P20S1;P20S2;P20S3;P20S4;P20S5;P20S1A1;P20S2A1;P20S3A1;P20S4A1;P20S5A1;P21R;P22;P23S1R;P24;P25;P26S1;P26S2;P26S3;P26S4;P26S5;P26S6;P26_1;P26_2S1;P26_2S2;P26_2S3;P26_2S4;P26_2S5;P26_2S6;P26_2S7;P26_2S8;P27;P28R;P29;P30S1;P30S2;P30S3;P30S4;P30S5;P30S6;P30S7;P30S8;P30S9;P30S1A1;P30S2A1;P30S3A1;P30S4A1;P30S5A1;P30S6A1;P30S7A1;P30S8A1;P30S9A1;P30_1;P30_2;P31;P32;P32S1;P32S2;P32S3;P32S4;P32S5;P32S6;P32S7;P32S8;P33S1;P33S2;P33S3;P33S4;P33S5;P33S6;P33_1;P33_2S1;P33_2S2;P33_2S3;P33_2S4;P33_2S5;P34;P35;P36R;P37S1;P37S2;P37S3;P37S4;P37S5;P37S6;P37S7;COMPLETA
101010;1;11;11001;1;16;2;1;57;1;3;2;1;3;2;4;3;3;4;4;4;4;4;2;2; ; ; ; ; ; ; ; ; ; ; ; ;2;2;2;1;2; ; ; ;1; ;1;1;7;11;3;1;2;1;2;2;2;3; ;1;1;1;1;1;1;1;1;6;1;2;2;2;2;2;2;2;2;2; ; ; ; ; ; ; ; ; ; ; ;1;1; ; ; ; ; ; ; ; ;2;2;2;2;2;2;2;2;2;2;2;2;1; ; ; ; ; ; ; ; ; ;1
101011;1;11;11001;1;16;2;1;34;2;3;1;1;3;2;4;3;4;3;3;4;4;3;4;1; ; ; ; ; ; ; ;1; ; ;1;1;2;2;2;2;2; ; ; ; ; ;1;7;20;1;9;2;2;1;2;2;2;3; ;1;1;1;1;1;1;1;1;13;8;2;2;2;2;2;2;2;2;2; ; ; ; ; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ;1;2;1;2;2;2;1;2;2;2;2;1;1; ; ; ; ; ; ; ; ; ;1
101012;1;11;11001;1;16;2;1;29;1;3;1;1;3;2;4;4;4;4;4;4;4;4;4;2; ; ; ; ; ; ; ; ; ; ; ; ;2;2;2;2;2; ; ; ; ; ;1;4;2;10;1;1;2;2;1;2;2;4; ;1;1;1;1;1;1;1;1;4;6;2;2;1;1;2;1;2;2;2; ; ;12;12; ;12; ; ; ;3;1;2; ; ; ; ; ; ; ; ; ;2;2;2;2;2;2;2;2;2;2;2;2;1; ; ; ; ; ; ; ; ; ;1
101013;1;11;11001;1;16;2;1;54;2;3;1;1;3;2;4;4;3;3;3;4;4;4;4;1; ; ; ; ; ; ; ; ;1; ;1;1;2;2;2;2;1; ; ; ; ;1;1;2;1;10;6;2;2;2;2;2;2; ; ; ; ; ; ; ; ; ;1;2;9;2;2;2;2;2;2;2;2;2; ; ; ; ; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ;2;2;2;2;2;2;1;2;2;2;2;2;1; ; ; ; ; ; ; ; ; ;1
101014;1;11;11001;1;16;2;1;56;2;3;1;1;3;2;4;4;3;4;4;4;4;4;4;2; ; ; ; ; ; ; ; ; ; ; ; ;2;2;2;2;2; ; ; ; ; ;1;7;0;7;6;2;2;2;1;2;2;4;1;1;1;1;1;1;1;1;1;2;2;2;1;2;2;2;2;2;2;2; ;15; ; ; ; ; ; ; ;2; ;2; ; ; ; ; ; ; ; ; ;2;2;2;2;2;2;2;2;2;2;2;2;1; ; ; ; ; ; ; ; ; ;1
101015;1;11;11001;1;16;2;1;59;2;3;1;1;3;2;3;2;4;3;4;3;4;3;3;2; ; ; ; ; ; ; ; ; ; ; ; ;2;2;2;2;2; ; ; ; ; ;1;1;7;1;1;2;2;1;2;2;2;3; ;1;1;1;1;1;1;1;1;2;4;2;2;2;2;2;2;2;2;2; ; ; ; ; ; ; ; ; ; ; ;1;1; ; ; ; ; ; ; ; ;2;2;2;2;2;2;2;2;2;2;2;2;1; ; ; ; ; ; ; ; ; ;1
101016;1;11;11001;1;16;2;1;60;2;3;1;1;3;2;4;4;4;4;4;4;4;3;4;2; ; ; ; ; ; ; ; ; ; ; ; ;2;2;2;2;2; ; ; ; ; ;1;7;10;11;9;2;2;1;2;2;2;3; ;1;1;1;1;1;1;1;1;2;9;2;2;2;2;2;2;2;2;2; ; ; ; ; ; ; ; ; ; ; ;1;1; ; ; ; ; ; ; ; ;2;2;1;2;2;2;2;2;2;2;2;2;1; ; ; ; ; ; ; ; ; ;1
101017;1;11;11001;1;16;2;1;58;1;3;1;1;3;2;4;4;4;4;4;3;4;4;4;2; ; ; ; ; ; ; ; ; ; ; ; ;1;2;2;2;2;1; ; ; ; ;1;7;5;7;3;2;2;2;1;2;2;4; ;1;1;1;1;1;1;1;1;4;2;2;2;1;2;1;1;2;2;2; ; ;11; ;14;17; ; ; ;6;2;2; ; ; ; ; ; ; ; ; ;2;2;2;2;2;2;2;2;2;2;2;2;1; ; ; ; ; ; ; ; ; ;1
101018;1;11;11001;1;16;2;1;63;2;3;1;1;3;2;4;4;3;4;4;2;4;3;3;2; ; ; ; ; ; ; ; ; ; ; ; ;1;2;2;2;2;1; ; ; ; ;1;6;2;4;9;2;2;2;2;2;2; ; ; ; ; ; ; ; ; ;1;2;9;2;2;2;2;2;2;2;2;2; ; ; ; ; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ;2;2;2;2;2;2;2;2;2;2;2;2;1; ; ; ; ; ; ; ; ; ;1
101019;1;11;11001;1;16;2;1;40;1;3;1;1;3;2;3;3;3;4;4;4;4;3;4;2; ; ; ; ; ; ; ; ; ; ; ; ;2;2;2;2;2; ; ; ; ; ;1;1;19;10;3;2;2;1;2;2;2;3; ;1;1;1;1;1;1;1;1;3;1;1;2;1;2;1;1;2;2;2;14; ;16; ;20;22; ; ; ;3;2;1;1; ; ; ; ; ; ; ; ;2;2;1;2;2;2;1;2;2;2;2;2;1; ; ; ; ; ; ; ; ; ;1
